TITLE,ARTIST,PLAYLIST,PLAYLIST ID,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
A BOY IS A GUN*,"Tyler, The Creator",recycled paper,2,2019,80,69,42,-8,51,3.50,57,72
In the Fog I,Tim Hecker,recycled paper,2,2011,105,51,15,-11,7,4.87,75,31
Hatred of Music I,Tim Hecker,recycled paper,2,2011,96,63,12,-7,4,6.18,49,28
Under the Bridge,Red Hot Chili Peppers,recycled paper,2,1991,85,35,56,-13,46,4.40,6,48
Blank Slate,HMLTD,recycled paper,2,2020,117,49,55,-8,6,3.75,0,22
Nobody Stays in Love,HMLTD,recycled paper,2,2020,110,69,71,-7,19,3.47,5,18
Faith,Against All Logic,recycled paper,2,2020,120,59,62,-8,9,7.00,60,30
Downtown,Destroyer,recycled paper,2,2011,110,56,76,-10,37,3.85,32,0
Cellular,King Krule,recycled paper,2,2020,133,76,64,-8,32,2.98,14,0
"Terrapin Station Medley:, Pt. 1: Lady with a Fan, Terrapin Station, Terrapin, Terrapin Transit, at a Dising, Terrapin Flyer & Refrain",Grateful Dead,recycled paper,2,1977,147,45,44,-12,45,16.50,9,19
feather,underscores,recycled paper,2,2018,90,66,65,-7,41,2.62,38,34
yellow is the color of her eyes,Soccer Mommy,recycled paper,2,2020,161,51,37,-7,19,7.25,75,57
House Of Cards,Radiohead,recycled paper,2,2007,112,50,71,-10,64,5.47,28,0
Colouour,Moses Sumney,recycled paper,2,2020,96,28,36,-11,7,3.13,93,0
Neither/Nor,Moses Sumney,recycled paper,2,2020,132,67,44,-8,44,5.45,56,0
"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,recycled paper,2,1959,137,23,53,-14,23,9.37,64,51
"Freddie Freeloader (feat. John Coltrane, Cannonball Adderley, Wynton Kelly & Paul Chambers)",Miles Davis,recycled paper,2,1959,128,28,63,-12,50,9.77,66,53
One Second to Toe the Line,Cindy Lee,recycled paper,2,2020,84,50,30,-7,46,3.03,91,27
Foreign,Playboi Carti,recycled paper,2,2018,123,71,76,-5,26,2.38,9,73
Like Antennas To Heaven…,Godspeed You! Black Emperor,recycled paper,2,2000,68,44,11,-14,4,18.97,76,37
Sleep,Godspeed You! Black Emperor,recycled paper,2,2000,108,53,22,-10,6,23.30,21,43
TOKYO,BROCKHAMPTON,recycled paper,2,2017,140,63,63,-6,54,3.20,6,56
SWEET,BROCKHAMPTON,recycled paper,2,2017,92,63,72,-6,72,4.57,54,65
なか - Album ver.,tricot,recycled paper,2,2020,85,53,57,-5,68,4.53,8,28
The Work of Art in the Age of Cultural Overproduction,Tim Hecker,recycled paper,2,2001,90,53,17,-12,9,7.58,58,31
City in Flames (In 3 Parts) Pt. 1,Tim Hecker,recycled paper,2,2001,109,34,26,-16,8,2.97,0,25
JOHNNY,BROCKHAMPTON,recycled paper,2,2017,80,86,61,-5,87,4.20,44,50
Romanticist,Yves Tumor,recycled paper,2,2020,94,70,58,-7,65,1.77,2,59
Dream Palette,Yves Tumor,recycled paper,2,2020,100,92,55,-5,60,2.92,0,45
Silent Shout,The Knife,recycled paper,2,2006,129,71,60,-11,39,4.90,10,39
For Her,Fiona Apple,recycled paper,2,2020,174,52,43,-9,45,2.73,81,47
Seen and Not Seen,Talking Heads,recycled paper,2,1980,98,62,78,-18,86,3.42,14,30
Once in a Lifetime,Talking Heads,recycled paper,2,1980,117,88,65,-8,80,4.33,6,49
Galaxy In Janaki,Flying Lotus,recycled paper,2,2010,81,96,44,-3,54,2.47,1,37
Limp,Fiona Apple,recycled paper,2,1999,120,52,77,-10,34,3.50,12,50
Fast As You Can,Fiona Apple,recycled paper,2,1999,138,77,46,-9,53,4.63,13,52
On The Bound,Fiona Apple,recycled paper,2,1999,117,58,65,-8,66,5.37,5,49
Bad Friend,Rina Sawayama,recycled paper,2,2020,95,72,55,-4,45,3.47,22,57
Frank's Wild Years,Tom Waits,recycled paper,2,1983,112,5,61,-27,37,1.88,83,33
On the Floor,Perfume Genius,recycled paper,2,2020,118,73,41,-6,58,5.07,32,0
Without You,Perfume Genius,recycled paper,2,2020,134,76,65,-5,83,2.60,7,0
Starman - 2012 Remaster,David Bowie,recycled paper,2,1972,100,45,49,-10,55,4.23,17,76
We Don't Care,Kanye West,recycled paper,2,2004,83,75,60,-6,65,4.00,1,63
Spaceship,Kanye West,recycled paper,2,2004,178,75,51,-5,66,5.40,50,63
Never Let Me Down,Kanye West,recycled paper,2,2004,80,82,46,-5,64,5.40,42,61
We Major,Kanye West,recycled paper,2,2005,86,88,23,-4,22,7.47,1,61
Bound 2,Kanye West,recycled paper,2,2013,149,67,37,-3,31,3.82,14,81
Feedback,Kanye West,recycled paper,2,2016,100,57,81,-6,17,2.45,56,63
No More Parties In LA,Kanye West,recycled paper,2,2016,93,92,51,-2,68,6.23,25,72
Sir Duke,Stevie Wonder,recycled paper,2,1976,107,57,59,-10,95,3.88,16,72
I Wish,Stevie Wonder,recycled paper,2,1976,106,72,82,-10,89,4.20,8,66
Summer Soft,Stevie Wonder,recycled paper,2,1976,105,62,55,-12,22,4.23,37,47
Isn't She Lovely,Stevie Wonder,recycled paper,2,1976,119,83,48,-7,82,6.57,18,68
Gold Dust Woman - 2004 Remaster,Fleetwood Mac,recycled paper,2,1977,123,60,67,-9,70,4.93,26,59
Mutual Slump,DJ Shadow,recycled paper,2,1996,98,81,50,-6,25,4.00,60,36
Napalm Brain / Scatter Brain - Medley,DJ Shadow,recycled paper,2,1996,146,74,67,-8,39,9.35,57,35
pulling the pin (feat. Mavis Staples & Josh Homme),Run The Jewels,recycled paper,2,2020,101,76,47,-7,22,3.62,29,45
Stop,J Dilla,recycled paper,2,2006,86,75,41,-8,47,1.65,20,0
Bye.,J Dilla,recycled paper,2,2006,90,41,60,-9,51,1.47,64,0
Palmolive (feat. Pusha T & Killer Mike),Freddie Gibbs,recycled paper,2,2019,168,60,33,-8,81,4.08,60,55
Giannis (feat. Anderson .Paak),Freddie Gibbs,recycled paper,2,2019,90,84,66,-6,53,3.32,7,52
Can't Stop This,The Roots,recycled paper,2,2006,93,75,58,-7,49,8.58,19,18
Giant Steps,John Coltrane,recycled paper,2,1905,148,49,43,-11,58,4.72,44,0
Mr. P.C.,John Coltrane,recycled paper,2,1905,131,54,47,-12,58,6.98,31,0
Good Girl / Carrots,Panda Bear,recycled paper,2,2007,130,84,36,-13,38,12.73,4,30
Fruitcake and Cookies,Sweet Trip,recycled paper,2,2003,76,70,35,-9,10,7.98,82,40
Chocolate Matter,Sweet Trip,recycled paper,2,2003,126,93,41,-6,18,4.07,17,45
"To All the Dancers of the World, A Round Form of Fantasy",Sweet Trip,recycled paper,2,2003,73,40,45,-8,18,6.32,48,38
Get Rich Quick Scheme,MIKE,recycled paper,2,2020,84,76,41,-11,57,2.20,0,0
Weight of the Word*,MIKE,recycled paper,2,2020,91,77,45,-9,40,3.92,38,0
What's Home 1/2,MIKE,recycled paper,2,2020,116,70,59,-10,48,2.92,22,0
Mezzanine,Massive Attack,recycled paper,2,1998,98,59,65,-12,39,5.95,6,46
의외의 사실 Unexpected Truth,Sister's Barbershop,recycled paper,2,2008,107,68,67,-5,90,5.05,6,0
Animals,Alex G,recycled paper,2,2012,136,54,61,-6,23,2.88,22,40
Sarah,Alex G,recycled paper,2,2012,124,69,65,-5,50,2.93,51,65
Kute,Alex G,recycled paper,2,2012,170,80,63,-4,98,1.23,57,42
Dirty Computer (feat. Brian Wilson),Janelle Monáe,recycled paper,2,2018,160,49,45,-9,27,2.00,38,44
Screwed (feat. Zoë Kravitz),Janelle Monáe,recycled paper,2,2018,106,68,73,-8,45,5.03,4,50
I Got the Juice (feat. Pharrell Williams),Janelle Monáe,recycled paper,2,2018,120,49,92,-7,40,3.77,8,49
Two Hearts In 3/4 Time,The Avalanches,recycled paper,2,2000,72,76,54,-9,57,3.37,13,0
Electricity,The Avalanches,recycled paper,2,2000,105,77,53,-7,43,3.50,10,0
A Different Feeling,The Avalanches,recycled paper,2,2000,111,70,60,-8,34,4.38,2,0
Frida,Armand Hammer,recycled paper,2,2020,188,59,38,-8,29,4.20,9,23
Slew Foot,Armand Hammer,recycled paper,2,2020,89,51,53,-8,12,3.32,44,22
Charms,Armand Hammer,recycled paper,2,2020,91,50,50,-8,31,2.62,31,25
Ramesses II,Armand Hammer,recycled paper,2,2020,119,53,52,-11,52,4.18,57,32
Shit I'm Dreaming,Peter Cat Recording Co.,recycled paper,2,2019,128,20,31,-15,5,6.37,92,45
Unfunky UFO,Parliament,recycled paper,2,1975,98,68,67,-10,94,4.40,25,47
Hannah Hunt,Vampire Weekend,recycled paper,2,2013,208,31,35,-10,16,3.97,72,0
Deep Blue,Arcade Fire,recycled paper,2,2010,120,82,54,-7,55,4.47,31,44
Half Light II (No Celebration),Arcade Fire,recycled paper,2,2010,113,97,41,-5,39,4.45,1,43
Sprawl II (Mountains Beyond Mountains),Arcade Fire,recycled paper,2,2010,100,81,52,-6,18,5.43,2,56
"The Gleam, Pt. 2",The Microphones,recycled paper,2,2001,69,46,51,-12,29,1.97,64,38
I Am Bored,The Microphones,recycled paper,2,2001,131,51,45,-14,38,1.60,69,36
Sing,Slowdive,recycled paper,2,1905,69,46,36,-15,16,4.80,63,41
Steve Biko (Stir It Up),A Tribe Called Quest,recycled paper,2,1993,95,49,85,-11,34,3.20,1,53
Electric Relaxation,A Tribe Called Quest,recycled paper,2,1993,98,42,85,-13,65,4.07,25,54
"The Chase, Part II",A Tribe Called Quest,recycled paper,2,1993,94,67,80,-10,70,4.03,4,46
Award Tour,A Tribe Called Quest,recycled paper,2,1993,97,60,81,-9,56,3.77,0,64
Clap Your Hands,A Tribe Called Quest,recycled paper,2,1993,93,78,83,-8,77,3.27,13,45
Keep It Rollin',A Tribe Called Quest,recycled paper,2,1993,89,36,75,-14,76,3.10,2,47
"20,000 Deaths for Eidelyn Gonzales, 20,000 Deaths for Jamie Peterson",Xiu Xiu,recycled paper,2,1905,115,59,59,-7,8,3.27,57,29
Digital Love,Daft Punk,recycled paper,2,2001,125,66,64,-8,53,5.02,5,67
Short Circuit,Daft Punk,recycled paper,2,2001,110,56,54,-11,22,3.45,0,55
Spain,Chick Corea,recycled paper,2,1998,136,59,44,-11,43,9.82,68,37
500 Miles High,Chick Corea,recycled paper,2,1998,148,74,40,-9,29,9.08,44,28
Pictures Of Me,Elliott Smith,recycled paper,2,1997,135,40,62,-11,33,3.78,12,43
Enjoy the Silence - 2006 Remaster,Depeche Mode,recycled paper,2,1990,113,59,38,-12,22,6.22,35,57
Leif Erikson,Interpol,recycled paper,2,2002,109,74,53,-8,65,4.00,6,0
Tourist Point of View,Duke Ellington,recycled paper,2,1905,149,42,31,-12,45,5.12,19,33
Amad,Duke Ellington,recycled paper,2,1905,101,53,41,-12,35,4.47,62,17
Ad Lib on Nippon,Duke Ellington,recycled paper,2,1905,115,45,42,-11,18,11.60,72,18
Isfahan,Duke Ellington,recycled paper,2,1905,173,7,25,-14,9,4.10,98,42
Mount Harissa,Duke Ellington,recycled paper,2,1905,138,68,36,-11,49,7.70,57,30
yoshi's island,glass beach,recycled paper,2,2019,145,65,65,-6,67,6.32,28,14
Homeless,Burial,recycled paper,2,1905,137,90,58,-9,57,5.35,18,33
Untrue,Burial,recycled paper,2,1905,128,60,80,-10,31,6.28,44,36
The Anecdote,E SENS,recycled paper,2,2015,172,61,49,-9,44,4.35,54,0
Writer's Block,E SENS,recycled paper,2,2015,95,84,77,-5,53,3.65,9,0
Unknown Verses,E SENS,recycled paper,2,2015,77,57,66,-10,54,5.50,24,0
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,recycled paper,2,1986,136,77,52,-6,88,4.08,4,75
Cemetry Gates - 2011 Remaster,The Smiths,recycled paper,2,1986,105,80,55,-7,62,2.68,15,57
Riot Van,Arctic Monkeys,recycled paper,2,2006,104,33,59,-14,26,2.25,36,50
Flyin' High (In The Friendly Sky),Marvin Gaye,recycled paper,2,1971,110,44,29,-11,56,3.82,81,0
Mercy Mercy Me (The Ecology),Marvin Gaye,recycled paper,2,1971,93,71,49,-11,53,3.25,41,0
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,recycled paper,2,1971,94,52,64,-12,62,5.47,83,0
What's Happening Brother,Marvin Gaye,recycled paper,2,1971,98,71,44,-10,72,2.73,41,0
What's Going On,Marvin Gaye,recycled paper,2,1971,103,73,43,-9,74,3.93,31,1
Venice Bitch,Lana Del Rey,recycled paper,2,2019,78,29,37,-13,31,9.62,91,67
Mariners Apartment Complex,Lana Del Rey,recycled paper,2,2019,76,25,53,-13,16,4.12,76,68
The Next Best American Record,Lana Del Rey,recycled paper,2,2019,108,35,57,-10,12,5.82,62,60
Strangers,Portishead,recycled paper,2,1994,84,62,66,-6,25,3.97,4,54
Pedestal,Portishead,recycled paper,2,1994,84,46,41,-11,38,3.67,15,48
Glory Box,Portishead,recycled paper,2,1994,120,43,51,-10,21,5.15,18,71
Mysterons,Portishead,recycled paper,2,1994,164,50,66,-12,46,5.08,41,54
Wandering Star,Portishead,recycled paper,2,1994,80,37,64,-11,71,4.88,50,57
Empire Ants (feat. Little Dragon),Gorillaz,recycled paper,2,2010,99,77,60,-4,29,4.73,18,67
Superfast Jellyfish (feat. Gruff Rhys and De La Soul),Gorillaz,recycled paper,2,2010,81,75,71,-5,82,2.92,6,60
Pirate Jet,Gorillaz,recycled paper,2,2010,92,58,66,-7,22,2.53,1,53
Rhinestone Eyes,Gorillaz,recycled paper,2,2010,93,70,68,-6,85,3.33,9,83
Fake Plastic Trees,Radiohead,recycled paper,2,1995,74,23,45,-13,13,4.85,17,4
Black Star,Radiohead,recycled paper,2,1995,159,56,29,-7,31,4.12,0,0
Street Spirit (Fade Out),Radiohead,recycled paper,2,1995,138,45,49,-12,13,4.23,31,0
Up,Oneohtrix Point Never,recycled paper,2,2011,84,99,26,-3,7,3.95,1,22
Child Soldier,Oneohtrix Point Never,recycled paper,2,2011,152,38,51,-9,29,3.23,39,22
Crabs In A Bucket,Vince Staples,recycled paper,2,2017,131,73,68,-7,8,3.30,20,45
HiiiPower,Kendrick Lamar,recycled paper,2,2011,81,83,70,-6,54,4.67,18,66
Sixtyten,Boards of Canada,recycled paper,2,1998,110,73,75,-15,65,5.80,2,41
Pete Standing Alone,Boards of Canada,recycled paper,2,1998,110,56,78,-14,42,6.13,4,39
Smokes Quantity,Boards of Canada,recycled paper,2,1998,99,36,82,-14,36,3.12,18,38
90210 (feat. Kacy Hill),Travis Scott,recycled paper,2,2015,81,53,40,-7,31,5.65,11,78
Antidote,Travis Scott,recycled paper,2,2015,131,53,71,-5,13,4.38,1,76
Apple Pie,Travis Scott,recycled paper,2,2015,138,50,66,-4,28,3.65,3,65
Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,recycled paper,2,2015,124,73,52,-4,18,5.37,0,67
Post Verified Lifestyle,JPEGMAFIA,recycled paper,2,2019,134,59,52,-6,16,3.58,71,43
"Jesus Forgive Me, I Am A Thot",JPEGMAFIA,recycled paper,2,2019,122,78,63,-5,60,2.62,24,54
PTSD,JPEGMAFIA,recycled paper,2,2019,119,88,60,-5,49,2.47,41,44
Thot Tactics,JPEGMAFIA,recycled paper,2,2019,126,61,62,-6,49,2.83,17,48
Liberation (with Cee-Lo),Outkast,recycled paper,2,1998,158,63,66,-10,59,8.77,8,51
Aquemini,Outkast,recycled paper,2,1998,89,66,71,-6,16,5.32,25,58
Rosa Parks,Outkast,recycled paper,2,1998,104,70,79,-7,25,5.40,11,65
Da Art of Storytellin' (Pt. 1),Outkast,recycled paper,2,1998,104,86,75,-6,40,3.72,11,57
Slump,Outkast,recycled paper,2,1998,93,68,74,-5,39,5.15,13,46
Packt Like Sardines In a Crushd Tin Box,Radiohead,recycled paper,2,2001,125,64,67,-13,65,4.00,73,0
Morning Bell/Amnesiac,Radiohead,recycled paper,2,2001,62,42,33,-6,19,3.23,71,0
Like Spinning Plates,Radiohead,recycled paper,2,2001,138,41,49,-13,22,3.95,71,0
I Know The End,Phoebe Bridgers,recycled paper,2,2020,111,32,33,-10,26,5.75,32,35
Kyoto,Phoebe Bridgers,recycled paper,2,2020,131,74,60,-7,49,3.08,5,38
Big Poppa - 2005 Remaster,The Notorious B.I.G.,recycled paper,2,1994,84,57,78,-7,77,4.22,43,79
Warning - 2005 Remaster,The Notorious B.I.G.,recycled paper,2,1994,172,79,60,-8,40,3.67,35,62
Everyday Struggle - 2005 Remaster,The Notorious B.I.G.,recycled paper,2,1994,96,71,91,-6,45,5.32,6,59
Unbelievable - 2005 Remaster,The Notorious B.I.G.,recycled paper,2,1994,183,79,75,-8,79,3.73,18,53
Taste,Animal Collective,recycled paper,2,2009,81,87,45,-7,34,3.88,0,34
My Girls,Animal Collective,recycled paper,2,2009,120,95,51,-6,56,5.68,26,55
In The Flowers,Animal Collective,recycled paper,2,2009,111,75,22,-8,48,5.37,7,40
Daily Routine,Animal Collective,recycled paper,2,2009,82,61,15,-7,12,5.77,39,37
Summertime Clothes,Animal Collective,recycled paper,2,2009,136,87,49,-6,32,4.57,0,46
Lion In A Coma,Animal Collective,recycled paper,2,2009,129,92,44,-5,70,4.20,3,32
Reanimator (feat. Yves Tumor),Joji,recycled paper,2,2020,121,42,33,-9,14,3.05,44,63
Perfect Disguise,Modest Mouse,recycled paper,2,2000,124,36,52,-10,14,2.53,73,42
The Stars Are Projectors,Modest Mouse,recycled paper,2,2000,75,78,37,-7,26,8.77,40,38
I Came As a Rat,Modest Mouse,recycled paper,2,2000,113,71,56,-7,54,3.78,4,43
텅빈 오늘 밤,Yoo Jae-Ha,recycled paper,2,1987,130,48,70,-11,34,5.37,2,17
지난날,Yoo Jae-Ha,recycled paper,2,1987,111,53,64,-10,69,5.23,36,22
가리워진 길,Yoo Jae-Ha,recycled paper,2,1987,84,13,27,-14,33,3.30,87,26
Deserted Dunes Welcome Weary Feet,King Gizzard & The Lizard Wizard,recycled paper,2,2017,102,84,36,-9,52,3.57,0,34
Polygondwanaland,King Gizzard & The Lizard Wizard,recycled paper,2,2017,167,50,44,-10,78,3.55,31,36
Searching...,King Gizzard & The Lizard Wizard,recycled paper,2,2017,112,45,75,-11,24,3.07,75,31
The Castle In The Air,King Gizzard & The Lizard Wizard,recycled paper,2,2017,104,74,49,-9,68,2.80,11,34
Run for Your Life,clipping.,recycled paper,2,2019,148,67,81,-9,50,4.87,11,0
Obamacare,Quelle Chris,recycled paper,2,2019,79,66,60,-10,23,4.45,3,35
"It's the Law (Farewell Goodbye Addio, Uncle Tom)",Quelle Chris,recycled paper,2,2019,86,72,44,-7,72,4.57,1,19
Straight Shot,Quelle Chris,recycled paper,2,2019,80,66,41,-8,49,6.17,37,24
Wild Minks,Quelle Chris,recycled paper,2,2019,85,76,43,-10,31,4.85,82,22
Spray and Pray,Quelle Chris,recycled paper,2,2019,144,61,87,-7,71,1.65,17,24
Bitch I'm Lugubrious,Lil Ugly Mane,recycled paper,2,2012,144,81,47,-7,56,4.55,0,44
Radiation (Lung Pollution) [feat.Supasortahuman],Lil Ugly Mane,recycled paper,2,2012,117,76,63,-7,73,4.53,2,38
Breeze Em Out,Lil Ugly Mane,recycled paper,2,2012,161,73,71,-9,66,3.62,0,35
Lean Got Me Fucked Up,Lil Ugly Mane,recycled paper,2,2012,105,44,70,-11,67,4.22,1,35
Wishmaster,Lil Ugly Mane,recycled paper,2,2012,143,84,45,-5,26,4.00,2,36
Siberian Khatru,Yes,recycled paper,2,1972,119,74,35,-8,58,8.92,3,31
Tainted Love,Soft Cell,recycled paper,2,1905,144,45,54,-10,63,2.57,56,63
A Long Way Past The Past,Fleet Foxes,recycled paper,2,2020,160,55,51,-9,24,4.00,42,49
Young Man's Game,Fleet Foxes,recycled paper,2,2020,145,69,52,-8,56,3.20,17,44
Going-to-the-Sun Road,Fleet Foxes,recycled paper,2,2020,81,40,15,-12,22,3.98,54,43
Featherweight,Fleet Foxes,recycled paper,2,2020,152,49,34,-13,44,3.85,83,54
"Cradling Mother, Cradling Woman",Fleet Foxes,recycled paper,2,2020,165,75,36,-10,57,5.17,20,41
Billie Jean,Michael Jackson,recycled paper,2,1982,117,46,93,-10,88,4.90,2,65
Baby Be Mine,Michael Jackson,recycled paper,2,1982,110,48,84,-10,67,4.35,8,59
Thriller,Michael Jackson,recycled paper,2,1982,118,69,77,-10,78,5.97,3,62
Wanna Be Startin' Somethin',Michael Jackson,recycled paper,2,1982,122,87,84,-8,91,6.05,3,59
Campus,Vampire Weekend,recycled paper,2,2008,109,71,52,-6,58,2.93,22,0
The Kids Don't Stand A Chance,Vampire Weekend,recycled paper,2,2008,140,45,66,-6,91,4.05,27,0
A-Punk,Vampire Weekend,recycled paper,2,2008,175,82,55,-4,86,2.30,1,1
Jenny,The Mountain Goats,recycled paper,2,1905,134,40,72,-10,69,2.85,87,0
The Best Ever Death Metal Band in Denton,The Mountain Goats,recycled paper,2,1905,62,64,38,-8,78,2.62,76,0
Fall of the Star High School Running Back,The Mountain Goats,recycled paper,2,1905,166,51,51,-10,88,1.82,82,0
Miles' Mode,John Coltrane Quartet,recycled paper,2,1905,68,58,31,-10,47,7.50,65,20
Out Of This World,John Coltrane Quartet,recycled paper,2,1905,93,69,37,-8,52,14.03,80,24
Dream Fighter,Perfume,recycled paper,2,1905,135,98,60,-2,57,4.90,1,32
ワンルーム・ディスコ,Perfume,recycled paper,2,1905,128,94,65,-2,93,5.15,2,31
I still love U,Perfume,recycled paper,2,1905,110,91,62,-3,91,4.57,1,23
Collider,Jon Hopkins,recycled paper,2,2013,115,77,70,-7,34,9.37,4,38
Minha,Cartola,recycled paper,2,2014,100,50,64,-14,96,2.35,86,24
Meu Drama (Senhora Tentação),Cartola,recycled paper,2,2014,105,59,74,-14,96,3.13,82,12
Sei Chorar,Cartola,recycled paper,2,2014,105,59,62,-14,91,2.50,89,12
Impressioni di settembre,Premiata Forneria Marconi,recycled paper,2,2003,142,46,28,-10,32,5.73,48,30
Grazie davvero,Premiata Forneria Marconi,recycled paper,2,2003,134,26,41,-8,16,5.87,62,18
The Charade,D'Angelo,recycled paper,2,2014,120,73,67,-8,46,3.35,25,41
Betray My Heart,D'Angelo,recycled paper,2,2014,106,44,80,-11,59,5.92,65,48
Back to the Future (Part II),D'Angelo,recycled paper,2,2014,95,53,87,-8,62,2.42,13,36
Ain't That Easy,D'Angelo,recycled paper,2,2014,176,64,55,-8,61,4.82,14,46
Till It's Done (Tutu),D'Angelo,recycled paper,2,2014,91,55,65,-10,50,3.87,13,41
Supercut,Lorde,recycled paper,2,2017,125,44,56,-10,15,4.63,22,70
Homemade Dynamite,Lorde,recycled paper,2,2017,107,43,77,-5,27,3.17,29,63
Track 2,Lee So Ra,recycled paper,2,2008,97,50,69,-9,55,4.07,62,0
Track 12,Lee So Ra,recycled paper,2,2008,120,33,73,-13,49,3.70,49,0
Weed in LA,The Koreatown Oddity,recycled paper,2,2020,107,81,68,-7,80,2.30,6,0
Koreatown Oddity,The Koreatown Oddity,recycled paper,2,2020,75,83,44,-7,77,3.20,25,0
A Bitch Once Told Me,The Koreatown Oddity,recycled paper,2,2020,75,89,41,-6,86,5.20,22,0
The World's Smallest Violin,The Koreatown Oddity,recycled paper,2,2020,80,94,31,-4,68,5.45,51,0
Ginkabiloba,The Koreatown Oddity,recycled paper,2,2020,96,66,55,-8,70,3.03,69,0
Devilish,Jean Dawson,recycled paper,2,2020,166,91,49,-4,51,3.37,14,46
Dummy,Jean Dawson,recycled paper,2,2020,131,97,59,-3,53,2.95,0,40
Bruiseboy,Jean Dawson,recycled paper,2,2020,122,92,51,-4,35,3.38,5,47
Pegasus,Jean Dawson,recycled paper,2,2020,81,92,31,-5,35,2.38,1,39
Power Freaks,Jean Dawson,recycled paper,2,2020,105,73,56,-6,6,4.20,17,53
Siberian Breaks,MGMT,recycled paper,2,2010,107,77,31,-7,37,12.17,6,48
Flash Delirium,MGMT,recycled paper,2,2010,122,80,57,-4,40,4.27,8,49
Backdrifts,Radiohead,recycled paper,2,2003,93,72,72,-10,73,5.38,65,51
A Wolf At the Door,Radiohead,recycled paper,2,2003,69,68,42,-7,36,3.35,27,54
They Don't Make Them Like You Anymore,Rory Gallagher,recycled paper,2,1973,89,78,58,-8,91,4.08,6,36
Look Out Cleveland,The Band,recycled paper,2,1969,160,80,52,-8,81,3.12,41,35
Jawbone,The Band,recycled paper,2,1969,85,57,59,-7,71,4.32,78,32
King Harvest (Has Surely Come),The Band,recycled paper,2,1969,100,69,58,-8,73,3.63,52,41
Born Again So Many Times You Forget You Are,Brave Little Abacus,recycled paper,2,2020,161,75,23,-10,29,10.13,6,25
UFO,PANIC,recycled paper,2,1996,120,94,62,-4,67,4.38,3,14
불면증,PANIC,recycled paper,2,1996,146,78,55,-7,13,11.95,54,4
Ma Ma,PANIC,recycled paper,2,1996,80,54,69,-9,19,5.07,1,3
"You and Your Folks, Me and My Folks",Funkadelic,recycled paper,2,1971,77,81,50,-9,83,3.63,4,35
Can You Get to That,Funkadelic,recycled paper,2,1971,141,83,69,-9,82,2.87,54,59
Back In Our Minds,Funkadelic,recycled paper,2,1971,136,72,46,-10,74,2.68,5,32
Nomadic Revery (All Around),Bonnie Prince Billy,recycled paper,2,1905,78,13,45,-16,30,3.97,80,7
A Minor Place,Bonnie Prince Billy,recycled paper,2,1905,100,18,55,-19,36,3.72,77,11
Today I Was An Evil One,Bonnie Prince Billy,recycled paper,2,1905,79,17,62,-17,38,3.87,89,5
Dead Presidents II,JAY-Z,recycled paper,2,1996,87,91,76,-9,57,4.43,17,59
Can't Knock The Hustle,JAY-Z,recycled paper,2,1996,95,38,78,-11,58,5.30,20,56
Friend Or Foe,JAY-Z,recycled paper,2,1996,87,57,69,-11,84,1.82,33,42
Cashmere Thoughts,JAY-Z,recycled paper,2,1996,86,68,73,-10,77,2.95,27,41
Lost,Meat Puppets,recycled paper,2,1905,127,69,54,-8,49,3.43,2,27
Aurora Borealis,Meat Puppets,recycled paper,2,1905,171,41,57,-10,78,2.75,21,43
Magic Toy Missing,Meat Puppets,recycled paper,2,1905,141,75,59,-9,83,1.37,0,25
"That's Really Super, Supergirl - Remastered 2001",XTC,recycled paper,2,1986,111,79,71,-5,97,3.35,47,14
Ballet For A Rainy Day - Remastered 2001,XTC,recycled paper,2,1986,158,75,42,-6,68,2.83,34,11
1000 Umbrellas - Remastered 2001,XTC,recycled paper,2,1986,172,51,42,-6,32,3.73,59,10
Galaxy,Bruno Pernadas,recycled paper,2,2016,138,64,48,-7,41,8.70,41,30
Spaceway 70,Bruno Pernadas,recycled paper,2,2016,94,63,37,-7,50,7.32,53,38
Anywhere in Spacetime,Bruno Pernadas,recycled paper,2,2016,109,63,66,-8,51,6.77,17,40
Orpheus,David Sylvian,recycled paper,2,1987,160,50,43,-11,38,4.87,51,48
The Boy With The Gun,David Sylvian,recycled paper,2,1987,164,44,32,-11,36,5.32,77,32
Paranojanabloku,Afro Kolektyw,recycled paper,2,2006,88,61,78,-5,72,5.45,32,7
Gościnne występy,Afro Kolektyw,recycled paper,2,2006,80,67,75,-7,63,5.67,60,6
Gramy dalej,Afro Kolektyw,recycled paper,2,2006,108,92,81,-5,87,5.45,37,11
Escape From LA,The Weeknd,recycled paper,2,2020,146,52,40,-9,17,5.93,5,70
Heartless,The Weeknd,recycled paper,2,2020,170,75,54,-6,25,3.30,2,79
After Hours,The Weeknd,recycled paper,2,2020,109,57,66,-6,14,6.02,8,78
Until I Bleed Out,The Weeknd,recycled paper,2,2020,115,39,25,-10,15,3.17,42,65
Doo Wop (That Thing),Ms. Lauryn Hill,recycled paper,2,1998,100,51,54,-9,50,5.33,4,74
